movie_title,director,country_of_origin,date_released,run_time,budget,boxoffice,color,win,genre
King Richard,Reinaldo Marcus Green,US,11/19/21,144,50,39.4,1,N,biographical
CODA,Sian Heder,FR,8/13/21,111,10,1.6,1,Y,comedy
West Side Story,Steven Spielberg,US,12/10/21,156,100,76,1,N,crime
The Power of the Dog,Jane Campion,US,12/1/21,122,35,0.4,1,N,drama
Licorice Pizza,Paul Thomas Anderson,US,11/26/21,133,40,27.7,1,N,comedy
Belfast,Kenneth Branagh,UK,11/12/21,98,20,48.8,1,N,biographical
Drive My Car,Ryusuke Murakami,JP,11/24/21,179,1.3,15.2,1,N,drama
Dune,Denis Villeneuve,US,10/22/21,156,165,401.8,,N,science fiction
Don't Look Up,Adam McKay,US,12/5/21,138,75,1.5,1,N,comedy
Nightmare Alley,Guillermo del Toro,,12/17/21,150,60,39.6,1,N,crime
Nomadland,Chloe Zhao,US,9/11/20,108,5,36.4,1,Y,drama
The Father,Florian Zeller,US,1/27/20,97,6,24.4,1,N,drama
Judas and the Black Messiah,Shaka King,US,2/1/21,126,26,7,1,N,drama
Mank,David Fincher,US,11/13/20,131,25,1,1,N,comedy
Minari,Bong Joon-Ho,KOR,5/21/19,132,11,257.5,1,N,comedy
Promising Young Woman,Emerald Fennell,UK,1/25/20,113,7,16.7,1,N,thriller
Sound of Metal,Darius Marder,US,11/20/20,120,5.4,1,1,N,drama
The Trial of the Chicago 7,Aaron Sorkin,US,9/25/20,130,35,1,1,N,comedy
 Parasite,Bong Joon-Ho,KOR,5/21/19,132,11,257.5,1,Y,comedy
Ford v Ferrari,James Mangold,US,8/30/19,152,98,225.5,1,N,action
The Irishman,Martin Scorsese,US,9/27/19,210,159,8,1,N,crime
Jojo Rabbit,Taika Wititi,ZNL,9/8/19,108,14,90.3,1,N,war
Joker,Todd Phillips ,US,10/4/19,122,55,"1,074.00",1,N,thriller
Little Women,Greta Gerwig,US,12/15/19,135,40,206,1,N,drama
Marriage Story,Noah Baumbach,US,8/29/19,137,18,2.3,1,N,romance
1917,Sam Mendes,US,12/4/19,119,95,385.3,1,N,drama
Once Upon a Time in Hollywood,Quentin Tarantino,US,7/26/19,160,90,374.3,1,N,drama
Black Panther,Ryan Coogler,US,2/16/18,134,200,"1,344.00",1,N,science fiction
BlacKkKlansman,Spike Lee,US,5/14/18,135,15,93.4,1,N,biographical
Bohemian Rhapsody,Bryan Singer,US,10/23/18,134,50,903.7,1,N,biographical
The Favourite,Yorgos Lanthimos,US,7/29/18,120,15,95.9,1,N,comedy
Roma,Alfonso Cuaron,MX,8/30/18,135,15,5.1,0,N,drama
Green Book,Peter Farrelly,US,9/11/18,130,23,327.9,1,Y,historical
A Star Is Born,Bradley Cooper,US,8/31/18,136,36,436.2,1,N,drama
Vice,Adam McKay,US,12/11/18,132,60,76.1,1,N,biographical
Call Me by Your Name,Luca Guadagnino,IT,1/22/17,132,4,41.9,1,N,drama
The Shape of Water,Guillermo del Toro,US,8/31/17,123,20,195.3,1,Y,fantasy
Darkest Hour,Joe Wright,US,9/1/17,125,30,150.9,1,N,historical
Dunkirk,Christopher Nolan,UK,7/13/17,106,125,526.9,1,N,historical
Lady Bird,Greta Gerwig,US,9/1/17,93,10,79,1,N,drama
Phantom Thread,Paul Thomas Anderson,US,12/11/17,130,35,47.8,1,N,drama
The Post,Steven Spielberg,US,12/14/17,116,50,179.8,1,N,historical
Moonlight,Barry Jenkins,US,9/2/16,111,3,65.3,1,Y,drama
Arrival,Denis Villeneuve,US,9/1/16,116,47,203.4,1,N,science fiction
Fences,Denzel Washington,US,12/15/16,139,24,64.4,1,N,historical
Hacksaw Ridge,Mel Gibson,US,9/4/16,139,40,180.4,1,N,biographical
Hell or High Water,David Mackenzie,US,5/16/16,102,12,37.9,1,N,western
Hidden Figures,Theodore Melfi,US,12/10/16,127,25,236,1,N,biographical
La La Land,Damien Chazelle,US,8/31/16,128,30,446.5,1,N,musical
Lion,Garth Davis,AU,9/10/16,118,12,140.3,1,N,western
Manchester by the Sea,Kenneth Lonergan,US,1/23/16,137,9,79,1,N,drama
The Big Short,Adam McKay,US,11/12/15,130,50,133.4,1,N,drama
Bridge of Spies,Steven Spielberg,US,11/26/15,141,40,165.5,1,N,drama
Brooklyn,John Crowley,UK,11/6/15,112,11,62.1,1,N,drama
Mad Max: Fury Road,George Miller,US,5/7/15,120,150,375.2,1,N,action
The Martian,Ridley Scott,US,9/11/15,130,108,630.2,1,N,science fiction
The Revenant,Alejandro Iñárritu,US,12/16/15,156,135,533,1,N,action
Room,Leonard Abrahamson,CA,9/4/15,118,13,36.3,1,N,drama
Spotlight,Thomas McCarthy,US,9/3/15,129,20,98.3,1,Y,drama
